"V1";"V2";"Pop";"0";"1";"pval"
"open_rv_24m";"Mean (SD)";"3.6 (2.9)";"3.6 (2.9)";"NaN (NA)";NA
"open_rv_24m";"Median (IQR)";"3.0 (2.0-5.0)";"3.0 (2.0-5.0)";"NA (NA-NA)";"0"
"open_rv_24m";"Missing (%)";"255,576 (99.9%)";"209,567 (99.9%)";"46,009 (100.0%)";NA
"max_bal_bc";"Mean (SD)";"5,517.3 (4,507.6)";"5,517.3 (4,507.6)";"NaN (NA)";NA
"max_bal_bc";"Median (IQR)";"4,511.5 (2,091.2-8,212.8)";"4,511.5 (2,091.2-8,212.8)";"NA (NA-NA)";"0"
"max_bal_bc";"Missing (%)";"255,576 (99.9%)";"209,567 (99.9%)";"46,009 (100.0%)";NA
"all_util";"Mean (SD)";"58.9 (20.4)";"58.9 (20.4)";"NaN (NA)";NA
"all_util";"Median (IQR)";"62.0 (46.8-74.2)";"62.0 (46.8-74.2)";"NA (NA-NA)";"0"
"all_util";"Missing (%)";"255,576 (99.9%)";"209,567 (99.9%)";"46,009 (100.0%)";NA
"total_rev_hi_lim";"Mean (SD)";"29,709.1 (29,517.3)";"30,473.2 (30,332.8)";"26,368.6 (25,380.7)";NA
"total_rev_hi_lim";"Median (IQR)";"22,300.0 (13,300.0-36,800.0)";"22,700.0 (13,500.0-37,800.0)";"20,500.0 (12,400.0-33,200.0)";"0"
"total_rev_hi_lim";"Missing (%)";"66,457 (26.0%)";"55,677 (26.5%)";"10,780 (23.4%)";NA
"inq_fi";"Mean (SD)";"1.3 (1.8)";"1.3 (1.8)";"NaN (NA)";NA
"inq_fi";"Median (IQR)";"1.0 (0.0-1.0)";"1.0 (0.0-1.0)";"NA (NA-NA)";"0"
"inq_fi";"Missing (%)";"255,576 (99.9%)";"209,567 (99.9%)";"46,009 (100.0%)";NA
"total_cu_tl";"Mean (SD)";"2.1 (3.9)";"2.1 (3.9)";"NaN (NA)";NA
"total_cu_tl";"Median (IQR)";"0.0 (0.0-2.0)";"0.0 (0.0-2.0)";"NA (NA-NA)";"0"
"total_cu_tl";"Missing (%)";"255,576 (99.9%)";"209,567 (99.9%)";"46,009 (100.0%)";NA
"inq_last_12m";"Mean (SD)";"2.6 (4.1)";"2.6 (4.1)";"NaN (NA)";NA
"inq_last_12m";"Median (IQR)";"2.0 (1.0-4.0)";"2.0 (1.0-4.0)";"NA (NA-NA)";"0"
"inq_last_12m";"Missing (%)";"255,576 (99.9%)";"209,567 (99.9%)";"46,009 (100.0%)";NA
"loan_installment";"Mean (SD)";"327.1 (190.1)";"327.6 (192.0)";"324.9 (180.8)";NA
"loan_installment";"Median (IQR)";"277.8 (194.4-416.7)";"277.8 (193.1-416.7)";"283.3 (200.0-416.7)";"0.003"
"full_state";"Alabama";"3,179 (1.2%)";"2,509 (1.2%)";"670 (1.5%)";NA
"full_state";"Alaska";"668 (0.3%)";"571 (0.3%)";"97 (0.2%)";"0.003"
"full_state";"Arizona";"6,128 (2.4%)";"5,061 (2.4%)";"1,067 (2.3%)";NA
"full_state";"Arkansas";"1,769 (0.7%)";"1,426 (0.7%)";"343 (0.7%)";NA
"full_state";"California";"43,434 (17.0%)";"36,001 (17.2%)";"7,433 (16.2%)";NA
"full_state";"Colorado";"5,678 (2.2%)";"4,881 (2.3%)";"797 (1.7%)";NA
"full_state";"Connecticut";"3,743 (1.5%)";"3,117 (1.5%)";"626 (1.4%)";NA
"full_state";"Delaware";"689 (0.3%)";"564 (0.3%)";"125 (0.3%)";NA
"full_state";"District of Columbia";"847 (0.3%)";"758 (0.4%)";"89 (0.2%)";NA
"full_state";"Florida";"17,776 (7.0%)";"14,180 (6.8%)";"3,596 (7.8%)";NA
"full_state";"Georgia";"8,118 (3.2%)";"6,723 (3.2%)";"1,395 (3.0%)";NA
"full_state";"Hawaii";"1,485 (0.6%)";"1,207 (0.6%)";"278 (0.6%)";NA
"full_state";"Idaho";"9 (0.0%)";"8 (0.0%)";"1 (0.0%)";NA
"full_state";"Illinois";"9,400 (3.7%)";"7,822 (3.7%)";"1,578 (3.4%)";NA
"full_state";"Indiana";"2,810 (1.1%)";"2,177 (1.0%)";"633 (1.4%)";NA
"full_state";"Iowa";"13 (0.0%)";"10 (0.0%)";"3 (0.0%)";NA
"full_state";"Kansas";"2,109 (0.8%)";"1,748 (0.8%)";"361 (0.8%)";NA
"full_state";"Kentucky";"2,300 (0.9%)";"1,854 (0.9%)";"446 (1.0%)";NA
"full_state";"Louisiana";"2,977 (1.2%)";"2,406 (1.1%)";"571 (1.2%)";NA
"full_state";"Maine";"13 (0.0%)";"13 (0.0%)";"0 (0.0%)";NA
"full_state";"Maryland";"6,077 (2.4%)";"4,954 (2.4%)";"1,123 (2.4%)";NA
"full_state";"Massachusetts";"6,234 (2.4%)";"5,193 (2.5%)";"1,041 (2.3%)";NA
"full_state";"Michigan";"6,070 (2.4%)";"4,901 (2.3%)";"1,169 (2.5%)";NA
"full_state";"Minnesota";"4,496 (1.8%)";"3,682 (1.8%)";"814 (1.8%)";NA
"full_state";"Mississippi";"428 (0.2%)";"338 (0.2%)";"90 (0.2%)";NA
"full_state";"Missouri";"4,033 (1.6%)";"3,226 (1.5%)";"807 (1.8%)";NA
"full_state";"Montana";"747 (0.3%)";"646 (0.3%)";"101 (0.2%)";NA
"full_state";"Nebraska";"44 (0.0%)";"37 (0.0%)";"7 (0.0%)";NA
"full_state";"Nevada";"3,838 (1.5%)";"3,019 (1.4%)";"819 (1.8%)";NA
"full_state";"New Hampshire";"1,164 (0.5%)";"1,005 (0.5%)";"159 (0.3%)";NA
"full_state";"New Jersey";"9,734 (3.8%)";"7,867 (3.8%)";"1,867 (4.1%)";NA
"full_state";"New Mexico";"1,392 (0.5%)";"1,120 (0.5%)";"272 (0.6%)";NA
"full_state";"New York";"21,586 (8.4%)";"17,405 (8.3%)";"4,181 (9.1%)";NA
"full_state";"North Carolina";"6,960 (2.7%)";"5,642 (2.7%)";"1,318 (2.9%)";NA
"full_state";"North Dakota";"8 (0.0%)";"8 (0.0%)";"0 (0.0%)";NA
"full_state";"Ohio";"7,841 (3.1%)";"6,351 (3.0%)";"1,490 (3.2%)";NA
"full_state";"Oklahoma";"2,148 (0.8%)";"1,724 (0.8%)";"424 (0.9%)";NA
"full_state";"Oregon";"3,370 (1.3%)";"2,820 (1.3%)";"550 (1.2%)";NA
"full_state";"Pennsylvania";"8,531 (3.3%)";"6,931 (3.3%)";"1,600 (3.5%)";NA
"full_state";"Rhode Island";"1,096 (0.4%)";"903 (0.4%)";"193 (0.4%)";NA
"full_state";"South Carolina";"2,835 (1.1%)";"2,382 (1.1%)";"453 (1.0%)";NA
"full_state";"South Dakota";"547 (0.2%)";"456 (0.2%)";"91 (0.2%)";NA
"full_state";"Tennessee";"2,441 (1.0%)";"1,874 (0.9%)";"567 (1.2%)";NA
"full_state";"Texas";"19,524 (7.6%)";"16,434 (7.8%)";"3,090 (6.7%)";NA
"full_state";"Utah";"2,131 (0.8%)";"1,777 (0.8%)";"354 (0.8%)";NA
"full_state";"Vermont";"431 (0.2%)";"360 (0.2%)";"71 (0.2%)";NA
"full_state";"Virginia";"8,021 (3.1%)";"6,567 (3.1%)";"1,454 (3.2%)";NA
"full_state";"Washington";"5,961 (2.3%)";"4,959 (2.4%)";"1,002 (2.2%)";NA
"full_state";"West Virginia";"1,147 (0.4%)";"986 (0.5%)";"161 (0.3%)";NA
"full_state";"Wisconsin";"3,134 (1.2%)";"2,584 (1.2%)";"550 (1.2%)";NA
"full_state";"Wyoming";"606 (0.2%)";"524 (0.2%)";"82 (0.2%)";NA
"acc_ratio";"Mean (SD)";"0.5 (0.2)";"0.5 (0.2)";"0.5 (0.2)";NA
"acc_ratio";"Median (IQR)";"0.5 (0.4-0.6)";"0.5 (0.3-0.6)";"0.5 (0.4-0.6)";"0"
"acc_ratio";"Missing (%)";"29 (0.0%)";"26 (0.0%)";"3 (0.0%)";NA
"credit_hist";"Mean (SD)";"17.4 (7.1)";"17.5 (7.0)";"17.0 (7.2)";NA
"credit_hist";"Median (IQR)";"16.0 (13.0-21.0)";"16.0 (13.0-21.0)";"16.0 (12.0-20.0)";"0"
"credit_hist";"Missing (%)";"51 (0.0%)";"42 (0.0%)";"9 (0.0%)";NA
"poverty_rate_p";"Mean (SD)";"0.1 (0.0)";"0.1 (0.0)";"0.1 (0.0)";NA
"poverty_rate_p";"Median (IQR)";"0.1 (0.1-0.2)";"0.1 (0.1-0.2)";"0.1 (0.1-0.2)";"0"
